شناسه نظر,کاربر,محصول,متن نظر,تاریخ ثبت,وضعیت
207,Behnam387,Barbie,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.,2026-05-23 12:32:20.408266+00:00,فعال
208,Behnam387,Gladiator,وقت تلف کردن، اصلاً ارزش نداشت.,2026-05-23 12:32:20.408266+00:00,فعال
203,Behnam387,House of the Dragon,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.,2026-05-23 12:32:20.392134+00:00,فعال
204,Behnam387,The Intouchables,حس و حال خاصی داشت، متفاوت بود.,2026-05-23 12:32:20.392134+00:00,فعال
205,Behnam387,The Shawshank Redemption,قسمت اول بهتر از این بود.,2026-05-23 12:32:20.392134+00:00,فعال
206,Behnam387,Spider-Man: Beyond the Spider-Verse,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:20.392134+00:00,فعال
198,Behnam387,Better Call Saul,حتماً قسمت دوم را هم خواهم دید.,2026-05-23 12:32:20.376000+00:00,فعال
199,Behnam387,The Boys,شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:20.376000+00:00,فعال
200,Behnam387,Joker: Folie à Deux,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:20.376000+00:00,فعال
201,Behnam387,Succession,صحنه‌های اکشن فوق‌العاده.,2026-05-23 12:32:20.376000+00:00,فعال
202,Behnam387,Oppenheimer,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:20.376000+00:00,فعال
194,Elham952,Spider-Man: Beyond the Spider-Verse,بر اساس کتاب بود؟ کتاب خیلی بهتر بود.,2026-05-23 12:32:20.360270+00:00,فعال
195,Behnam387,Game of Thrones,ارزش دیدن دارد، اما نه بیشتر.,2026-05-23 12:32:20.360270+00:00,فعال
196,Behnam387,Mickey 17,دکور و لباس‌ها حرفه‌ای بود.,2026-05-23 12:32:20.360270+00:00,فعال
197,Behnam387,The Lord of the Rings: The Return of the King,خیلی طولانی بود، خسته‌کننده.,2026-05-23 12:32:20.360270+00:00,فعال
193,Elham952,Inside Out 2,به هیچ وجه پیشنهاد نمی‌کنم.,2026-05-23 12:32:20.356522+00:00,فعال
192,Elham952,Your Name (Kimi no Na wa),شاهکار! بدون شک جزو بهترین‌هاست.,2026-05-23 12:32:20.352515+00:00,فعال
191,Elham952,The Father,دیالوگ‌ها بسیار قوی و ماندگار.,2026-05-23 12:32:20.348506+00:00,فعال
190,Elham952,Parasite,از همان دقیقه اول جذبم کرد.,2026-05-23 12:32:20.344397+00:00,فعال
