شناسه,نام محصول,دسته‌بندی,کارگردان,بازیگران,ژانر,تاریخ انتشار,مدت زمان (دقیقه),زبان,کشور,امتیاز وزندار,تعداد امتیازها,میانگین امتیاز,تعداد نظرات,بازدید,دانلود,وضعیت
64,Succession,سریال,جسی آرمسترانگ,"برایان کاکس, جرمی استرانگ",درام,2018-06-03,60,انگلیسی,,2.76,10,2.70,3,267,18,published
65,Better Call Saul,سریال,وینس گیلیگان,"باب ادنکیرک, ریا سیهورن","جنایی, درام",2015-02-08,50,انگلیسی,,3.11,10,2.90,4,288,43,published
66,Avatar: The Last Airbender,سریال,مایکل دانته دیمارتینو,"زاک تایلر آیزن, می وایتمن","انیمیشن, ماجراجویی",2005-02-21,23,انگلیسی,,2.83,10,2.80,4,289,48,published
67,Fargo,سریال,نواه هاولی,"بیلی باب تورنتون, مارتین فریمن","جنایی, درام",2014-04-15,55,انگلیسی,,3.11,9,3.11,3,253,36,published
61,Dark,سریال,باران بو اودار,"لوییس هافمن, کارولینه آیشهورن","علمی-تخیلی, معمایی",2017-12-01,60,انگلیسی,,3.37,14,3.21,4,314,60,published
62,Peaky Blinders,سریال,استیون نایت,"کیلیان مورفی, هلن مک کروری","جنایی, درام",2013-09-12,60,انگلیسی,,2.59,9,2.67,6,293,26,published
63,The Last of Us,سریال,کریگ مازین,"پدرو پاسکال, بلا رمزی","اکشن, درام",2023-01-15,50,انگلیسی,,3.08,8,3.00,3,225,25,published
60,Sherlock,سریال,استیون موفات,"بندیکت کامبربچ, مارتین فریمن","جنایی, درام",2010-07-25,90,انگلیسی,,3.49,6,3.67,1,185,16,published
57,The Mandalorian,سریال,جان فاورو,"پدرو پاسکال, کارل ودترز","اکشن, ماجراجویی",2019-11-12,40,انگلیسی,,2.98,13,2.77,3,303,55,published
58,House of the Dragon,سریال,رایان کاندال,"پدی کانسیداین, مت اسمیت","اکشن, درام",2022-08-21,60,انگلیسی,,2.86,6,3.00,4,223,12,published
59,The Boys,سریال,اریک کرپک,"کارل اوربان, جک کواید","اکشن, کمدی",2019-07-26,60,انگلیسی,,2.72,9,2.56,3,248,16,published
56,Black Mirror,سریال,چارلی بروکر,"جسی پلمونس, برایس دالاس هاوارد","علمی-تخیلی, دلهره‌آور",2011-12-04,60,انگلیسی,,3.02,12,3.00,3,301,27,published
