شناسه امتیاز,کاربر,محصول,امتیاز,تاریخ ثبت
3,Tuser,The Green Mile,2,2026-05-23
4,Tuser,The Batman 2,5,2026-05-23
5,Tuser,The Father,2,2026-05-23
6,Tuser,The Silence of the Lambs,1,2026-05-23
7,Tuser,Gladiator,2,2026-05-23
8,Tuser,Breaking Bad,3,2026-05-23
9,Tuser,Fight Club,3,2026-05-23
10,Tuser,Stranger Things,4,2026-05-23
11,Tuser,Dark,4,2026-05-23
12,Tuser,28 Years Later: The Bone Temple 2026,2,2026-05-23
13,Tuser,Spirited Away,5,2026-05-23
14,Tuser,The Matrix,5,2026-05-23
15,Tuser,Schindler's List,3,2026-05-23
16,Tuser,Parasite,3,2026-05-23
17,Tuser,Whiplash,5,2026-05-23
18,Tuser,Mickey 17,5,2026-05-23
19,Tuser,Deadpool 3,3,2026-05-23
20,Tuser,Cinema Paradiso,3,2026-05-23
21,Tuser,Spider-Man: Across the Spider-Verse,2,2026-05-23
22,Tuser,The Lord of the Rings: The Return of the King,3,2026-05-23
23,Tuser,Chernobyl,3,2026-05-23
24,Tuser,Oppenheimer,2,2026-05-23
25,Tuser,Inception,3,2026-05-23
26,Tuser,Peaky Blinders,2,2026-05-23
27,loginTest,Barbie,2,2026-05-23
28,loginTest,Cinema Paradiso,2,2026-05-23
29,loginTest,3 Idiots,5,2026-05-23
30,loginTest,The Godfather,5,2026-05-23
31,loginTest,The Wire,5,2026-05-23
32,loginTest,Gladiator 2,2,2026-05-23
33,loginTest,The Shawshank Redemption,3,2026-05-23
34,loginTest,The Intouchables,4,2026-05-23
35,loginTest,Spider-Man: Beyond the Spider-Verse,1,2026-05-23
36,loginTest,Band of Brothers,4,2026-05-23
37,loginTest,The Boys,1,2026-05-23
38,loginTest,The Prestige,2,2026-05-23
39,loginTest,Inside Out 2,4,2026-05-23
40,loginTest,The Mandalorian,1,2026-05-23
41,loginTest,The Crown,4,2026-05-23
42,loginTest,Pulp Fiction,5,2026-05-23
43,loginTest,Saving Private Ryan,4,2026-05-23
44,loginTest,Fight Club,3,2026-05-23
45,loginTest,Deadpool 3,2,2026-05-23
46,loginTest,Succession,3,2026-05-23
47,loginTest,The Lord of the Rings: The Return of the King,4,2026-05-23
48,loginTest,Dark,4,2026-05-23
49,loginTest,The Green Mile,2,2026-05-23
50,loginTest,Gladiator,1,2026-05-23
51,loginTest,Superman,3,2026-05-23
52,loginTest,City of God,2,2026-05-23
53,Ali741,Coco,2,2026-05-23
54,Ali741,Forrest Gump,3,2026-05-23
55,Ali741,The Last of Us,2,2026-05-23
56,Ali741,Schindler's List,2,2026-05-23
57,Ali741,Chernobyl,5,2026-05-23
58,Ali741,The Crown,2,2026-05-23
59,Ali741,Spider-Man: Across the Spider-Verse,5,2026-05-23
60,Ali741,The Green Mile,5,2026-05-23
61,Ali741,Barbie,3,2026-05-23
62,Ali741,Seven Samurai,4,2026-05-23
63,Ali741,City of God,5,2026-05-23
64,Ali741,The Shawshank Redemption,2,2026-05-23
65,Ali741,The Sopranos,3,2026-05-23
66,Ali741,The Silence of the Lambs,5,2026-05-23
67,Ali741,The Mandalorian,3,2026-05-23
68,Ali741,Succession,5,2026-05-23
69,Ali741,Gladiator 2,2,2026-05-23
70,Ali741,Peaky Blinders,3,2026-05-23
71,Ali741,Gladiator,5,2026-05-23
72,Ali741,The Prestige,4,2026-05-23
73,Ali741,Band of Brothers,2,2026-05-23
74,Ali741,The Batman 2,3,2026-05-23
75,Ali741,Oppenheimer,5,2026-05-23
76,Ali741,Whiplash,5,2026-05-23
77,Ali741,Deadpool 3,4,2026-05-23
78,Ali741,The Odyssey,1,2026-05-23
79,Ali741,Dark,1,2026-05-23
80,Ali741,Interstellar,5,2026-05-23
81,Reza572,The Crown,5,2026-05-23
82,Reza572,Oppenheimer,5,2026-05-23
83,Reza572,The Sopranos,2,2026-05-23
84,Reza572,Seven Samurai,3,2026-05-23
85,Reza572,The Boys,4,2026-05-23
86,Reza572,The Prestige,3,2026-05-23
87,Reza572,Fargo,5,2026-05-23
88,Reza572,Gladiator 2,5,2026-05-23
89,Reza572,The Shawshank Redemption,3,2026-05-23
90,Reza572,3 Idiots,2,2026-05-23
91,Reza572,Mickey 17,4,2026-05-23
92,Reza572,The Mandalorian,2,2026-05-23
93,Reza572,Come and See,3,2026-05-23
94,Reza572,Goodfellas,5,2026-05-23
95,Reza572,Better Call Saul,4,2026-05-23
96,Reza572,28 Years Later: The Bone Temple 2026,3,2026-05-23
97,Reza572,Stranger Things,3,2026-05-23
98,Reza572,The Wire,5,2026-05-23
99,Reza572,Fight Club,3,2026-05-23
100,Reza572,1917,3,2026-05-23
101,Reza572,Parasite,1,2026-05-23
102,Reza572,Your Name (Kimi no Na wa),3,2026-05-23
103,Reza572,Inside Out 2,4,2026-05-23
104,Reza572,Barbie,1,2026-05-23
105,Reza572,Gladiator,4,2026-05-23
106,Reza572,Forrest Gump,4,2026-05-23
107,Reza572,Cinema Paradiso,3,2026-05-23
108,Mohammad363,The Batman 2,2,2026-05-23
109,Mohammad363,Breaking Bad,3,2026-05-23
110,Mohammad363,Interstellar,1,2026-05-23
111,Mohammad363,Band of Brothers,5,2026-05-23
